Date,Statement
2001-10-23,"The Bank of Canada today announced that it is lowering its target for the overnight rate 1 by three quarters of one percentage point to 2 3/4 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank Rate is now 3 per cent. Over the course of the summer, a more pronounced weakening trend in economic activity became evident in Canada and globally. The terrorist attacks of 11 September appear to have exacerbated this trend. As a consequence, levels of economic activity in Canada through the second half of this year and the first half of next year will be further below the economy's potential output than previously expected. This will result in persistent downward pressure on inflation through much of next year. Core inflation, which was 2.3 per cent in September, is now expected to move down below 2 per cent in early 2002. Total CPI inflation, which was 2.6 per cent in September, should also decline below 2 per cent by early 2002, if energy prices remain at or below their early September levels. Today's interest rate cut, which brings the total reduction in policy interest rates since the beginning of the year to 3 percentage points, is intended to underpin confidence and provide additional support for domestic demand growth through 2002, consistent with keeping inflation near the Bank's target of 2 per cent over the medium term. In this environment of exceptional uncertainties about geopolitical developments and business and household confidence, the Bank will continue to monitor economic developments very closely."
2002-01-15,"The Bank of Canada today announced that it is lowering its target for the overnight rate by one quarter of one percentage point to 2 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank Rate is now 2 1/4 per cent. In the November Monetary Policy Report , the Bank indicated that the timing and extent of the recovery in economic activity in Canada this year would depend on geopolitical developments and the pace of the return of consumer and business confidence to normal levels. Since then, uncertainty has been reduced as geopolitical developments have evolved positively and consumer confidence has improved. However, business confidence both in Canada and abroad remains weak. Although the Canadian economy is expected to gather momentum in the course of this year, it will nonetheless remain in excess supply through 2002, putting downward pressure on inflation. Core inflation, which declined to 1.7 per cent in November, is likely to stay around its current level through mid 2002 and to average just under 1 1/2 per cent in the second half of the year. Total CPI inflation, which fell sharply to 0.7 per cent in November, is expected to remain below the core rate until late 2002. The interest rate cut announced today brings the cumulative easing in the target for the overnight rate over the past 12 months to 3 3/4 percentage points. This easing, together with the improvement in the overall economic climate, should underpin growth through 2002 and 2003. The outcome would be consistent with returning inflation to its 2 per cent target over the medium term."
2002-03-05,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 2 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 2 1/4 per cent. Information received since the Bank's last interest rate announcement on 15 January indicates that the overall pace of economic activity in Canada and the United States has been stronger than expected, confirming that a recovery is underway. Canadian consumer price data for January show core inflation at 1.8 per cent and total CPI inflation at 1.3 per cent. The substantial amount of monetary stimulus in the economy continues to support economic growth in Canada, consistent with returning inflation to its 2 per cent target over the medium term. While uncertainties remain, the Bank expects the economy to gather strength as the year progresses."
2002-04-16,"The Bank of Canada today announced that it is raising its target for the overnight rate by one quarter of one percentage point to 2 1/4 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 2 1/2 per cent. The accumulated information since the beginning of the year continues to indicate stronger than expected economic growth in Canada and the United States. A robust recovery appears to be underway in Canada. At the same time, there are uncertainties with respect to the continued strength of household spending, the timing and strength of the recovery in business fixed investment, and the implications for the global economy of recent developments in the Middle East. In February, core inflation rose to 2.2 per cent, somewhat above the level projected for the next few months. Total CPI inflation was 1.5 per cent. With today's interest rate increase, the Bank is modestly reducing the amount of monetary stimulus in the economy. Substantial monetary stimulus remains in place to support continuing economic growth. This is consistent with keeping inflation at its 2 per cent target over the medium term. Details of the Bank's views on the economy and the outlook for inflation will be presented in the Monetary Policy Report , to be published on 24 April 2002."
2002-06-04,"The Bank of Canada today announced that it is raising its target for the overnight rate by one quarter of one percentage point to 2 1/2 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 2 3/4 per cent. Information received since the Bank's last interest rate announcement on 16 April indicates that the economic recovery in Canada has been somewhat stronger than anticipated. And core inflation in April rose to 2.2 per cent, slightly above the level that had been projected. Total CPI inflation was 1.7 per cent. Today's interest rate increase represents a further reduction in the substantial amount of monetary stimulus in the economy. Going forward, with the economy showing strong momentum and moving back towards full production capacity more quickly than had been expected, the Bank will take the action necessary to keep inflation at its 2 per cent target over the medium term. This will contribute to sustaining economic activity at full capacity."
2002-07-16,"The Bank of Canada today announced that it is raising its target for the overnight rate by one quarter of one percentage point to 2 3/4 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 3 per cent. Since the Bank's last interest rate announcement on 4 June, the economic recovery in Canada has remained stronger than expected and has broadened across sectors. This momentum has been reflected in continued strong growth in employment and spending by households, as well as in some pickup of investment in machinery and equipment. As a result, the economy has been moving towards full production capacity more quickly than anticipated. Core inflation, which was 2.2 per cent in May, has remained a little higher than projected. There are both positive and negative risks to the Canadian economic outlook. On the positive side, with considerable monetary stimulus in the economy, growth in Canada could very well continue to exceed expectations. On the negative side, the main risk is the marked uncertainty associated with recent global corporate and financial market developments and their potential effects on confidence and world economic growth. The Bank's decision to raise interest rates represents a further measured reduction in the substantial amount of monetary stimulus in the economy. In the period ahead, the Bank will remain focused on taking the necessary actions to achieve the inflation target of 2 per cent over the medium term."
2002-09-04,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 2 3/4 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 3 per cent. Consistent with the Bank's economic outlook in the July Monetary Policy Report Update , the Canadian economy continued its strong performance in the second quarter of the year and into the summer. Also, both core inflation and total CPI inflation in July were broadly in line with the Bank's expectations. Stronger than expected growth in domestic demand in Canada continues, buoyed by the substantial amount of monetary stimulus in the economy. However, near term prospects for growth in the United States and the major overseas economies appear to have weakened somewhat. There is also increased uncertainty associated with global financial market volatility and the unsettled geopolitical situation. Taking these factors into consideration, the Bank has decided to leave its target for the overnight rate unchanged at this time. Looking forward, it remains the Bank's view that, as the Canadian economy continues to expand and to approach its production capacity, further measured reductions in monetary stimulus will be necessary in order to achieve the inflation control target of 2 per cent over the medium term."
2002-10-16,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 2 3/4 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 3 per cent. The strong expansion of the Canadian economy is continuing, with domestic demand growth fuelled by the substantial monetary stimulus in the economy. Core and total CPI inflation have risen appreciably above the Bank's 2 per cent target for inflation control, largely because of a number of relative price movements. At the same time, the outlook for global economic activity has weakened, reflecting uncertainty about economic, financial, and geopolitical developments, as well as a reduced tolerance for risk in global financial markets. These uncertainties and the weaker global outlook may dampen growth in aggregate demand for Canadian output in the near term. The Bank has therefore decided to leave the target for the overnight rate unchanged at this time. It remains the Bank's view, going forward, that timely removal of monetary stimulus will be required to achieve the inflation target over the medium term. The pace of monetary policy tightening will depend on unfolding economic, financial, and geopolitical developments and their implications for pressures on capacity and inflation in Canada. Particular attention will be paid to ensuring that the relative price movements that are causing inflation to rise do not feed into expectations of generalized price inflation. An elaboration of the Bank's views on the economy and the outlook for inflation that were the basis for today's interest rate decision will be set out in the Monetary Policy Report , to be published on 23 October 2002."
2002-12-03,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 2 3/4 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 3 per cent. Core and total CPI inflation have remained above the Bank's 2 per cent target for inflation control, largely as a result of one off price movements such as the increase in insurance premiums. The Canadian economy continues to expand, with the substantial amount of monetary stimulus in the economy supporting growth in domestic demand. However, data that have become available since the Bank's last fixed announcement date on 16 October indicate that Canada's economic growth in the second half of 2002 is coming in lower than previously expected, primarily because of continuing financial and geopolitical uncertainties and global economic weakness. In these circumstances, the Bank has left the overnight rate unchanged. The Bank continues to expect a strengthening of domestic and foreign demand and the resumption of above potential growth in the second half of 2003. Accordingly, timely removal of monetary stimulus will be required to achieve the inflation target over the medium term. The pace of monetary policy tightening will depend on economic, financial, and geopolitical developments and their implications for pressures on capacity and inflation in Canada. Assuming crude oil prices remain at current levels, total inflation will likely peak at a lower level than previously expected, before returning to around 2 per cent in the second half of next year. The Bank will continue to monitor developments closely for any signs that the recent one off price movements may be feeding into expectations of generalized price inflation."
2003-03-04,"The Bank of Canada today announced that it is raising its target for the overnight rate by one quarter of one percentage point to 3 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 3 1/4 per cent. Consumer price data since the Bank's last interest rate announcement on 21 January indicate that both core and total CPI inflation remain well above the Bank's 2 per cent inflation target. Persistent above target inflation rates over the past few months reflect not only the impact of higher than expected crude oil and natural gas prices, but also continuing increases in auto insurance premiums and price pressures in certain sectors such as housing, food, and some services. More broadly, as noted in the January 2003 Monetary Policy Report Update , the fact that relative price increases are having a large impact on measures of trend inflation reflects an underlying firmness in the price setting environment. Economic growth in Canada moderated in the final three months of 2002, largely because of weaker exports, most notably a decline in automotive shipments to the United States. However, final domestic demand, particularly household expenditure, continued to expand at a robust pace. Owing to upward revisions to measures of Canadian economic growth in previous quarters, the level of economic activity at the end of 2002 was slightly higher than had been expected. Accordingly, the level of economic activity in Canada remains near full production capacity. In these circumstances, the persistence of above target rates of inflation has elevated the risk of an increase in inflation expectations. Significant geopolitical and global economic uncertainties continue to overhang the short run economic outlook. Nonetheless, the Bank continues to expect demand for Canadian output to pick up in the second half of 2003 and into 2004, as global uncertainties diminish. In light of domestic inflation pressures, the expectation that Canadian economic activity will remain near potential in 2003, the stimulative stance of monetary policy, and improved conditions in capital markets, the Bank has decided to raise the target for the overnight rate. As indicated in the MPR Update , further reductions in monetary stimulus will be required to return inflation to the target over the medium term. The timing and pace of increases in policy interest rates will continue to depend on a number of considerations. These include the strength of demand pressures, the evolution of inflation expectations, the impact on confidence of geopolitical and global economic uncertainties, and the way in which developments in the Middle East affect demand and inflation, both globally and in Canada. The Bank will continue to monitor closely all these factors."
2003-04-15,"The Bank of Canada today announced that it is raising its target for the overnight rate by one quarter of one percentage point to 3 1/4 per cent. The operating band for the overnight rate is correspondingly increased, and the Bank Rate is now 3 1/2 per cent. Since the Bank's last interest rate announcement on 4 March, both core and total CPI inflation have remained well above the Bank's 2 per cent inflation target and measures of inflation expectations have edged up. Economic growth in Canada in the second half of 2002 and in early 2003 eased from its earlier vigorous pace, but domestic demand has remained firm and employment gains have continued. As a result, the level of economic activity in Canada remains near full production capacity. The near term outlook for the global and Canadian economies is somewhat weaker than was expected at the time of the Bank's last interest rate announcement. Nonetheless, with geopolitical uncertainties diminishing and world oil prices declining significantly, the risks confronting the global economy are now better balanced. The Bank thus expects that economic expansion in Canada and the United States will begin to strengthen towards the end of 2003 and will strengthen further in 2004. In view of the domestic inflation environment and the expectation that the Canadian economy will be operating near potential in 2004, the Bank has decided to further reduce the amount of monetary stimulus by raising the target for the overnight rate. In light of near term economic uncertainties, the Bank will be closely monitoring domestic demand and the inflation environment, as well as the pace of recovery in the United States and the overseas economies. An elaboration of the Bank's views on the economy and the outlook for inflation will be set out in the Monetary Policy Report , to be published on 23 April 2003."
2003-06-03,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 3 1/4 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 3 1/2 per cent. Data released since the Bank's last interest rate announcement indicate that both core and total CPI inflation declined in April more than expected. Some of this decline was due to transitory factors, most notably the rebate on electricity prices in Ontario. The Canadian economy continued to expand in the first quarter of 2003, reflecting firmness in domestic demand. This was broadly in line with expectations in the April Monetary Policy Report . More recent developments bearing on aggregate demand for Canadian output, including continuing weakness in the U.S. and global economies and concerns about the economic impact of Severe Acute Respiratory Syndrome SARS , point to the likelihood of some near term softness in the Canadian economy. There has also been significant adjustment in the value of the U.S. dollar against major currencies, including the Canadian dollar. Looking forward, it remains the Bank's view that growth in the Canadian economy will be underpinned by the underlying strength of domestic demand and by the expected rebound in the U.S. economy towards the end of 2003 and through 2004. And, while there is likely to be some increase in core inflation in the coming months as a result of the unwinding of the transitory factors mentioned above, it now appears that both core and total CPI inflation will return to the 2 per cent target somewhat earlier than the Bank expected in April. In these circumstances, the Bank has decided to leave its policy interest rates unchanged. The Bank will monitor closely inflation developments, the strength of domestic demand, and signs of recovery in the U.S. and global economies, and will continue to assess the effects of the appreciation of the Canadian dollar on aggregate demand and price levels in Canada. An update of the Bank's views on the economy and the outlook for inflation will be provided in the July Monetary Policy Report Update ."
2003-07-15,"The Bank of Canada today announced that it is lowering its target for the overnight rate by one quarter of one percentage point to 3 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank Rate is now 3 1/4 per cent. In recent months, there have been a number of unanticipated developments that bear on the outlook for inflation and economic activity in Canada. Both inflation and inflation expectations have declined more rapidly than the Bank had expected. Near term domestic economic activity has been undercut by the effects of Severe Acute Respiratory Syndrome SARS and an isolated case of Bovine Spongiform Encephalopathy BSE in Canada. Foreign demand for Canadian products has also been weaker than earlier anticipated. In addition, the rapid and sizable appreciation of the Canadian dollar against the U.S. currency will tend to have a dampening effect on the demand for tradable Canadian goods and services. In this context, inflation pressures have eased and more economic slack is opening up in Canada than was previously projected. Today's interest rate reduction will provide support for domestic demand growth, and consequently for levels of aggregate demand consistent with keeping inflation on a track to meet the 2 per cent target over the medium term. Looking ahead, the Bank still expects that growth in the Canadian economy will strengthen towards the end of 2003 and through 2004, underpinned by domestic demand, by the favourable conditions in capital markets, and by the anticipated rebound in the U.S. economy. An elaboration of the Bank's views on the economy and the outlook for inflation will be provided in the Monetary Policy Report Update , to be released this Thursday, 17 July."
2003-09-03,"The Bank of Canada today announced that it is lowering its target for the overnight rate by one quarter of one percentage point to 2 3/4 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank Rate is now 3 per cent. Since the Bank's last interest rate announcement on 15 July, inflation pressures have continued to ease. Core inflation has declined below the 2 per cent inflation target earlier than the Bank anticipated, and it appears that lower inflation will persist over the coming months. As expected, economic growth was interrupted in the second quarter of the year, and the pace of growth in the third quarter will likely remain below potential. This recent weakness reflects the impact of a number of near term factors such as severe acute respiratory syndrome SARS , the effect of an isolated case of bovine spongiform encephalopathy BSE on exports of Canadian beef and cattle, the power blackout in Ontario, and the forest fires in Western Canada. Notwithstanding these developments, there are clear indications that conditions are in place for a strengthening of economic growth. Final domestic demand growth has remained robust and the adverse effects of the near term factors are beginning to dissipate. The economic rebound in the United States began earlier, and will be stronger, than previously expected. As well, the tone of capital markets remains favourable. Overall, despite current weakness, the accumulation of economic evidence to date reinforces the Bank's view that growth in the Canadian economy will strengthen towards the end of 2003 and through 2004. With today's decision, policy interest rates will support the return to levels of economic activity consistent with achieving an overall balance of aggregate demand and supply and thus keeping inflation near the target over the medium term."
2003-10-15,"The Bank of Canada today announced that it is maintaining its target for the overnight rate at 2 3/4 per cent. The operating band for the overnight rate is unchanged, and the Bank Rate remains at 3 per cent. Since the Bank lowered policy interest rates on 3 September, indicators of economic activity and inflation in Canada have evolved broadly in line with the Bank's expectations. Core inflation has remained below the Bank's 2 per cent inflation target. As well, there has been evidence of gathering economic strength, including firm growth in final domestic demand and positive signs of recovery in the U.S. and overseas economies. Over this period, however, the value of the U.S. dollar has depreciated more than was generally expected against some major currencies, including the Canadian dollar. Taking all these developments into account, the Bank has decided to leave its policy interest rates unchanged at this time. Looking forward, the Bank continues to expect growth in the Canadian economy to strengthen during the fourth quarter of 2003 and through 2004. On balance, this expansion should be above the rate of potential growth, supported by solid household spending and increased business investment. Stronger economic growth abroad should also boost foreign demand for Canadian goods and services, although this source of strength will be tempered by the higher value of the Canadian dollar. More broadly, there are uncertainties related to the timing and magnitude of ongoing global demand, price, and exchange rate adjustments to economic imbalances. The Bank will closely monitor and assess the implications of these global adjustments for demand and inflation in Canada. An elaboration of the Bank's views on the economy and the outlook for inflation will be provided in the Monetary Policy Report to be released on 22 October 2003."
2004-01-20,"The Bank of Canada today announced that it is lowering its target for the overnight rate by one quarter of one percentage point to 2 1/2 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank Rate is now 2 3/4 per cent. Both core and total CPI inflation remain below the 2 per cent inflation target. While inflation is exhibiting some volatility, underlying price pressures and the presence of spare capacity point to a core rate of inflation that will likely persist below the inflation target late into 2005. Despite stronger global economic growth, the rapid appreciation of the Canadian dollar against the U.S. currency has cut into the overall growth of aggregate demand for Canadian goods and services through weaker exports and increased imports. In addition, although employment growth has continued to be vigorous, recent indicators of domestic demand in the fourth quarter of 2003 have been somewhat weaker than projected. As a consequence, the output gap at the end of 2003 appears to be somewhat larger than the Bank was expecting. In light of these demand and inflation factors, and the likelihood that they will persist through this year and into 2005, the Bank has decided to lower the target for the overnight rate to provide additional support for growth in aggregate demand and thus help return inflation to the target over the medium term. An elaboration of the Bank's views on the outlook for inflation, the economy, and the uncertainties surrounding aggregate demand growth will be provided in the Monetary Policy Report Update , to be released on 22 January 2004."
2004-03-02,"The Bank of Canada today announced that it is lowering its target for the overnight rate by one quarter of one percentage point to 2 1/4 per cent. The operating band for the overnight rate is correspondingly lowered, and the Bank Rate is now 2 1/2 per cent. Information received since the Bank's last interest rate announcement has been broadly consistent with the economic outlook presented in the January Monetary Policy Report Update . As expected, core and total CPI inflation in January moved significantly below the 2 per cent inflation target. While external demand has been slightly stronger and final domestic demand in Canada slightly weaker than expected, the Bank's outlook remains, on balance, unchanged. In this context, today's decision to provide some additional monetary stimulus was taken to support aggregate demand and to return inflation to the target by the end of 2005. The Bank will monitor closely the evolution of external and domestic demand and the pressures on inflation, as the economy adjusts to global changes."
